AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
75,FALSE,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",,2013,TRUE,/incidents/2013/5/13/lytle/fire/,"Full containment at 6:00 PM on May 15, 2013.",,San Bernardino,36,13,,21,15/05/2013,,FALSE,TRUE,,,1,34.1834,"I/15 at Sierra Ave, near Lytle Creek",/117.4408,TRUE,Lytle Fire,100,292,TRUE,"The Lytle Fire burned in May 2013 in the San Bernardino National Forest off I/15 at Sierra Ave, near Lytle Creek n San Bernardino County. ","Lytle Fire, San Bernardino National Forest, Lytle Creek, San Bernardino County, I/15, Sierra Ave",13/05/2013,Finalized,,1,,,e2c4b308/9a2d/483b/8434/999bef9adc7c,2013/05/15T08:15:00Z,13
75,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/4/30/silverado/fire/,,,Napa,28,,,,01/05/2013,,FALSE,TRUE,,,,38.441792,"7300 block of Silverado Trail, north of Napa",/122.350844,FALSE,Silverado Fire,100,,TRUE,"The Silverado Fire burned in April 2013 and May 2013, off Silverado Trail, north of Napa in Napa County. ","Silverdo Fire, April 2013, May 2013, Napa, Napa County, SIlverado Trail",30/04/2013,Finalized,,,,,d8d1c943/7b5d/4885/9043/f41075d6eded,2013/05/01T17:15:00Z,
73,FALSE,CAL FIRE San Bernardino Unit,,2013,TRUE,/incidents/2013/9/11/liveoak/fire/,,,San Bernardino,36,,,,12/09/2013,,FALSE,TRUE,,,,34.003151,"Live Oak Canyon Rd, South of I/10 near cities of Redlands and Yucaipa. ",/117.106075,FALSE,Liveoak Fire,100,,TRUE,"The Liveoak Fire burned September 2013 off of Live Oak Canyon Road, south of I/10, near the cities of Redland and Yucaipa, in San Bernardino County.","Liveoak Fire, September 2013, Live Oak Canyon Road, I/10, Redlands, Yucaipa, San Bernardino County",11/09/2013,Finalized,,,,,31f21c59/8a94/4b17/91aa/88ca14817162,2013/09/12T08:45:00Z,
73,FALSE,CAL FIRE Nevada/Placer/Yuba Unit,,2013,TRUE,/incidents/2013/7/8/mcganney/fire/,,,Yuba,58,,,,08/07/2013,,FALSE,TRUE,,,,39.206,"off Highway 20 and McGanney Lane, west of Smartsville",/121.31634,FALSE,McGanney Fire,100,,TRUE,"The McGanney Fire burned in July 2013 off Highway 20 and McGanney Lane, west of Smartsville in Yuba County. ","McGanney Fire, July 2013, Highway 20, McGanney Lane, Smartsivlle, Yuba County",08/07/2013,Finalized,,,,,397ed8e6/6088/4e03/9316/8f50c65a83be,2013/07/08T17:30:00Z,
72,FALSE,CAL FIRE Butte Unit,,2013,TRUE,/incidents/2013/5/1/cedar/fire/,,,Butte,4,,2,3,04/05/2013,,FALSE,TRUE,,,,0,"Off Cedar Creek Loop Rd, South of Butte Meadows",0,TRUE,Cedar Fire,100,44,TRUE,"The Cedar Fire burned in May 2013, off Cedar Creek Loop Road, South of Butte Meadows in Butte County. ","Cedar Fire, May 2013, Butte Meadows, Butte County, Cedar Creek Loop Road",01/05/2013,Finalized,,,,,c6228c11/4388/4b33/aa18/3593c90f72ad,2013/05/04T19:00:00Z,
70,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/8/16/double/fire/,,,Lake,17,2,4,10,18/08/2013,,FALSE,TRUE,,,,39.013682,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",/122.491894,TRUE,Double Fire,100,,TRUE,"The Double Fire burned in August 2013 off Hwy 20 and Mule Skinner Rd., Clear Lake Oaks in Lake County. ","Double Fire, August 2013, Lake County, August 2013, Highway 20, Mule Skinner Road, Clear Lake Oaks",16/08/2013,Finalized,,,,,ae025ba5/8b5d/48de/ad5e/3037de3d18e9,2013/08/18T18:30:00Z,5
68,FALSE,Modoc National Forest,,2013,FALSE,/incidents/2013/9/7/rail/fire/,,,Modoc,25,,,,05/09/2013,,FALSE,TRUE,,,,41.569,"Rail Mountain, 7 miles NW of Canby",/120.959,FALSE,Rail Fire,100,,TRUE,"The Rail Fire burned September 2013 near Rail Mountain, 7 miles northwest of Canby, in Modoc County.","Rail Fire, September 2013, Modoc County, Rail Mountain, Canby",07/09/2013,Finalized,,,,,0875cf4e/9948/45ed/a76d/d74564319b49,2013/09/05T21:00:00Z,
64,FALSE,Ventura County Fire Department,,2013,TRUE,/incidents/2013/11/14/wheeler/fire/,,,Ventura,56,,,,15/11/2013,,FALSE,TRUE,,,,34.384,"Wheeler Canyon, north of Santa Paula",/119.13249,FALSE,Wheeler Fire,100,,TRUE,"The Wheeler Fire was a 64 acre fire in Wheeler Canyon, north of Santa Paula.","Wheeler Fire, Wheeler, Wheeler Canyon, Santa Paula",14/11/2013,Finalized,,,,,0adb968c/eb85/41c5/8e08/04c0ec386c79,2013/11/15T16:00:00Z,
60,FALSE,San Bernardino National Forest,,2013,FALSE,/incidents/2013/8/6/tram/fire/,,,Riverside,33,,,,08/08/2013,,FALSE,TRUE,,,,38.838,Off of Hwy 111 & Tramway Rd in Palm Springs,/116.61,FALSE,Tram Fire,100,,TRUE,The Tram Fire burned in August 2013 off of Highway 111 and Tramway Road in Palm Springs on the San Bernardino National Forest in Riverside County. ,"Tram Fire, August 2013, Highway 111, Tramway Road, Palm Springs, Riverside County, San Bernardino National Forest",06/08/2013,Finalized,,,,,ac568737/dae6/4050/b1f4/62ab1f9ec930,2013/08/08T09:00:00Z,
60,FALSE,CAL FIRE/Riverside County  Fire,,2013,TRUE,/incidents/2013/8/4/relay/fire/,,,Riverside,33,,,,04/08/2013,,FALSE,TRUE,,,,33.91027,"near Mt. David, south of Beaumont",/116.99895,FALSE,Relay Fire,100,,TRUE,"The Relay Fire burned in August 2013, near Mount David, south of Beaumont in Riverside County. ","Relay Fire, August 2013, Mount David, Beaumont, Riverside County",04/08/2013,Finalized,,,,,0658b1f8/5323/4152/b6d1/b208736587db,2013/08/04T18:00:00Z,
52,FALSE,CAL FIRE Nevada/Yuba/Placer Unit,,2013,TRUE,/incidents/2013/8/31/tyler/fire/,,,Nevada,29,,,,31/08/2013,,FALSE,TRUE,,,,39.333401,"North San Juan Area, Highway 49 and Tyler Foote Road",/121.107022,FALSE,Tyler Fire,100,,TRUE,"The Tyler Fire burned in August 2013 off of Highway 49 and Tyler Foote Road, north of the San Juan area, in Nevada County.","Tyler Fire, August 2013, Nevada County, San Juan, Highway 49, Tyler Foote Road",31/08/2013,Finalized,,,,,1476673c/df55/4c39/b117/d9d067f8a020,2013/08/31T21:30:00Z,
51,FALSE,CAL FIRE San Luis Obispo Unit,4,2013,TRUE,/incidents/2013/11/8/toro/fire/,"The decrease of acreage of yesterday’s estimate of 75 acres is due to more accurate mapping, using global positioning system (GPS) equipment.  As a precaution firefighters will continue to patrol the burned area for the next couple of days.",Toro Creek Road remains closed to non/emergency traffic at Summit Road North of Highway 41. ,San Luis Obispo,40,5,3,15,09/11/2013,,FALSE,TRUE,,2,,35.457978,"Toro Creek Rd. and Hwy 41 West, Morro Bay",/120.751555,TRUE,Toro Fire,100,219,TRUE,The Toro fire was a 51 acre fire off Toro Creek Rd. and Hwy 41 West in Morro Bay.,"Toro Fire, Toro, Toro Creek Road, Highway 41, Hwy 41, Morro Bay",08/11/2013,Finalized,,,,,587c03e3/4831/47c1/8c03/c08176e91b11,2013/11/09T17:00:00Z,
50,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/11/23/bruner/fire/,,,Lake,17,,,,24/11/2013,,FALSE,TRUE,,,,39.0448,"Off Bruner Drive & Al Drive, Clearlake Oaks",/122.7656,FALSE,Bruner Fire,100,,TRUE,The Bruner Fire was a 50 acre fire off Bruner Drive & Al Drive in Clearlake Oaks.,"Bruner Drive, Al Drive, Clearlake Oaks, Bruner Fire, LNU",23/11/2013,Finalized,,,,,3f3e234c/04e1/4941/a79f/23ddc419bf59,2013/11/24T08:45:00Z,
50,FALSE,CAL FIRE Siskiyou Unit,,2013,TRUE,/incidents/2013/8/15/cottonwood/fire/,,,Siskiyou,47,,,,15/08/2013,,FALSE,TRUE,,,,41.923323,"Cottonwood Creek Rd., 2 miles north of Hornbrook",/122.578393,FALSE,Cottonwood Fire,100,,TRUE,"The Cottonwood Fire burned in August 2013 off Cottonwood Creek Road, 2 miles north of Hornbrook in Siskiyou County. ","Cottonwood Fire, August 2013, Cottonwood Creek Road, Hornbrook, Siskiyou County",15/08/2013,Finalized,,,,,e16c204e/58d6/4f78/bc97/729b16ef9f83,2013/08/15T17:00:00Z,
50,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,/incidents/2013/7/12/uvas/fire/,,,Santa Clara,43,,,,12/07/2013,,FALSE,TRUE,,,,37.1438,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",/121.7804,FALSE,Uvas Fire,100,,TRUE,"The Uvas Fire burned in July 2013 off Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill in Santa Clara County. ","Uvas Fire, July 2013, Uvas Road, Casa Loma Road, Calero County Park, Morgan Hill, Santa Clara County",12/07/2013,Finalized,,,,,e779a754/29fd/472f/8d29/46cfee32d3c2,2013/07/12T17:45:00Z,
50,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,/incidents/2013/7/4/grant/fire/,,,Alameda,1,,,,04/07/2013,,FALSE,TRUE,,,,37.7393,"off Grant Ln Rd & I/580 in the Altamont Pass, 5 miles west of Tracy",/121.5869,FALSE,Grant Fire,100,,TRUE,"The Grant Fire burned in July 2013 off Grant Line Road and I/580 in the Altamont Pass, 5 miles west of Tracey in Alameda County. ","Grant Fire, July 2013, Grant Line Road, I/580, Altamont Pss, Tracy, Alameda County",04/07/2013,Finalized,,,,,07fb8b11/f39b/4cd0/8a27/2d4fef7fe680,2013/07/04T11:30:00Z,
50,FALSE,CAL FIRE San Luis Obispo Unit,,2013,TRUE,/incidents/2013/5/25/homestead/fire/,,,San Luis Obispo,40,,,,25/05/2013,,FALSE,TRUE,,,,35.5123,"Homestead Rd & Hwy 41, northeast of Atascadero ",/120.6368,FALSE,Homestead Fire,100,,TRUE,"The Homestead Fire burned in May 2013, off Homestead Road and Highway 41, northeast of Atascadero in San Luis Obispo County. ","Homestead Fire, May 2013, Highway 41, Atascadero, San Luis Obispo County",25/05/2013,Finalized,,,,,5b5ce06d/7ea9/4d28/b564/715fd0d04f3f,2013/05/25T18:45:00Z,
46,FALSE,CAL FIRE Tuolumne/Calaveras Unit,,2013,TRUE,/incidents/2013/8/17/bridges/fire/,"Current Situation: Brush and oak woodland vegetation. Access has been an issue. Steep, rocky terrain makes fire suppression work extremely difficult especially during the nighttime hours.

<p>Additional Information: Please exercise great caution while driving through the towns of Angels Camp and Vallecito, and in the areas of Parrott’s Ferry Road and Camp Nine Road. Please watch for fire vehicles and personnel. Smoke may reduce visibility, especially at night. Until smoke dissipates air quality may continue to be an issue for sensitive groups. Keep windows closed and limit strenuous outdoor activities until air quality improves.",,Calaveras,5,18,18,30,19/08/2013,,FALSE,TRUE,,18,2,38.06231,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",/120.45233,TRUE,Bridges Fire,100,169,TRUE,"The Bridges Fire burned in August 2013 off Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake in Calaveras County. ","Bridges Fire, August 2013, Calaveras County, Parrott's Ferry Road, Vallecito, New Melones Lake",17/08/2013,Finalized,,,,,10445e2c/979d/49a2/82c2/c3789bd2449a,2013/08/19T07:10:00Z,18
46,FALSE,CAL FIRE/Fresno County Fire,,2013,TRUE,/incidents/2013/6/17/sierra/fire/,,,Fresno,10,,,,19/06/2013,,FALSE,TRUE,,,,37.03087,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",/119.463757,FALSE,Sierra Fire,100,,TRUE,"The Sierra Fire started in June 2013 off Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry in Fresno County.","Sierra Fire, Fresno County, Sierra High School, Auberry, Black Mountain Road, Lodge Road",17/06/2013,Finalized,,,,,15e7e15d/f707/473e/b0f3/6534cfd845b7,2013/06/19T08:45:00Z,
45,FALSE,CAL FIRE Mendocino Unit,,2013,TRUE,/incidents/2013/7/23/pratt/fire/,,,Mendocino,23,,,,23/07/2013,,FALSE,TRUE,,,,38.980846,"Hwy 175 & Pratt Ranch Road, East of Hopland ",/123.067671,FALSE,Pratt Fire,100,,TRUE,"The Pratt Fire burned in July 2013 off Highway 175 and Pratt Ranch Road, east of Hopland in Mendocino County. ","Pratt Fire, July 2013, Mendocino County, Highway 175, Pratt Ranch Road, Hopland",23/07/2013,Finalized,,,,,f1d7f375/8aa3/4cb5/a864/bae9bb90cbd1,2013/07/23T16:00:00Z,
44,FALSE,Ventura County Fire Department,,2013,FALSE,/incidents/2013/12/10/happy/camp/fire/,,,Ventura,56,,,,11/12/2013,,FALSE,TRUE,,,,0, off Happy Camp Canyon Rd near Moorpark,0,FALSE,Happy Camp Fire,100,,TRUE,The Happy Camp Fire off Happy Camp Canyon Rd near Moorpark was 44 acres.,"Happy Camp Fire, Happy Camp, Moorpark, Happy Camp Canyon, 2013, Ventura, Ventura County",10/12/2013,Finalized,,,,,cbb685c8/df00/4cdf/8925/7239fa21a049,2013/12/11T17:30:00Z,
43,FALSE,CAL FIRE Shasta/Trinity Unit,,2013,TRUE,/incidents/2013/7/9/fiddler/fire/,,,Shasta,45,,,,09/07/2013,,FALSE,TRUE,,,,40.373,off Fiddler,/122.7338,FALSE,Fiddler Fire,100,,TRUE,The Fiddler Fire burned in July 2013 off Fiddler Road in Shasta County. ,"Fiddler Fire, July 2013, Fiddler, Shasta County",09/07/2013,Finalized,,,,,3f64fc8a/8870/4e64/b60a/3e13c8532acd,2013/07/09T15:00:00Z,
42,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,/incidents/2013/6/8/viper/fire/,,,Riverside,33,,,,08/06/2013,,FALSE,TRUE,,,,33.96936,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",/117.1265,FALSE,Viper Fire,100,,TRUE,"The Viper Fire burned in June 2013 off San Timoteo Canyon Road and Viper Road, north of Moreno Valley in Riverside County. ","Viper Fire, June 2013, San Timoteo Canyon Road, Viper Road, Moreno Valley, Riverside County Fire, Riverside County",08/06/2013,Finalized,,,,,e9505435/e861/4f33/9069/b0040fb2a135,2013/06/08T19:00:00Z,
41,FALSE,CAL FIRE San Mateo/Santa Cruz Unit,,2013,TRUE,/incidents/2013/9/7/chestnut/fire/,,,San Mateo,41,,,,07/09/2013,,FALSE,TRUE,,,,37.667295,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",/122.427285,FALSE,Chestnut Fire,100,,TRUE,"The Chestnut Fire burned September 2013 off of Chestnut Ave and Hillside Blvd, near San Bruno Mountain, south of San Francisco, in San Mateo County.","Chestnut Fire, September 2013, San Mateo County, Chestnut Ave, Hillside Blvd, San Bruno Mountain, South San Francisco",07/09/2013,Finalized,,,,,b30ee931/f349/4d21/a38a/d346c516b104,2013/09/07T20:00:00Z,
40,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,/incidents/2013/12/31/grant/fire/,,,Santa Clara,43,,,,31/12/2013,,FALSE,TRUE,,,,37.342186,off Mount Hamilton Road near Grant Ranch County Park,/121.717706,FALSE,Grant Fire,100,,TRUE,The Grant Fire off Mount Hamilton Road near Grant Ranch County Park was 40 acres.,"SCU, Grant Fire, Mount Hamilton Road, Grant Ranch County Park",31/12/2013,Finalized,,,,,7a168690/06e5/4056/97c8/73b834204744,2013/12/31T16:00:00Z,
40,FALSE,Orange County Fire Authority,,2013,TRUE,/incidents/2013/10/6/baker/fire/,,,Orange,30,,,,09/10/2013,,FALSE,TRUE,,,,33.7655,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",/117.6649,FALSE,Baker Fire,100,,TRUE,"The Baker Fire burned 40 acres in October 2013 off Baker Canyon Rd, Silverado Canyon area, east of Irvine in Orange County.","Baker Fire, Orange County Fire Authority, Baker Canyon, Silverado Canyon, Irvine",06/10/2013,Finalized,,,,,9a110003/2f4c/4ac7/a3e5/b4e713f8d1fe,2013/10/09T08:00:00Z,
40,FALSE,CAL FIRE San Diego Unit,,2013,TRUE,/incidents/2013/9/26/valley/fire/,,,San Diego,37,,,,28/09/2013,,FALSE,TRUE,,,,0,off I/8 & Los Coches Rd near Lakeside,0,FALSE,Valley Fire,100,,TRUE,The Valley Fire burned September 2013 off I/8 and Los Coaches Road near Lakeside in San Diego County.,"Valley Fire, September 2013, Los Coches Road, Lakeside, San Diego, San Diego County",26/09/2013,Finalized,,,,,487a3f42/fd84/4598/bc48/130ad241c883,2013/09/28T09:15:00Z,
40,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,/incidents/2013/8/16/pierce/fire/,,,Riverside,33,,,,16/08/2013,,FALSE,TRUE,,,,33.570291,Ave 66 and Pierce Street  ,/116.10815,FALSE,Pierce Fire,100,,TRUE,The Pierce Fire burned in August 2013 off Avenue 66 and Pierce Street in Riverside County. ,"Pierce Fire, August 2013, Avenue 66, Pierce Street, Riverside County",16/08/2013,Finalized,,,,,f23f8148/6ec4/4885/9729/0dad7c744485,2013/08/16T21:00:00Z,
40,FALSE,CAL FIRE Siskiyou Unit,,2013,TRUE,/incidents/2013/7/31/trout/fire/,,,Siskiyou,47,,,,31/07/2013,,FALSE,TRUE,,,,0,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",0,FALSE,Trout Fire,100,,TRUE,"The Trout Fire burned in July 2013 near the Siskiiyou Wildland Refuge, 5 miles southeast of Montague in Siskiyou County. ","Trout Fire, July 2013, Siskiyou Wildland Refuge, Montague, Siskiyou County",31/07/2013,Finalized,,,,,0e197989/042e/4c73/8820/f98e0b6fdd52,2013/07/31T19:25:00Z,
40,FALSE,CAL FIRE / Riverside County Fire,,2013,TRUE,/incidents/2013/7/19/heacock/fire/,,,Riverside,33,,,,20/07/2013,,FALSE,TRUE,,,,33.9634,Heacock St & Sandy Glade Ave in Moreno Valley,/117.2508,FALSE,Heacock Fire,100,,TRUE,The Heacock Fire burned in July 2013 off Heacock Street and Sandy Glade Ave in Moreno Valley in Riverside County. ,"Heacock Fire, July 2013, Heacock Street, Sandy Glade Avenue, Moreno Valley, Riverside County",19/07/2013,Finalized,,,,,8fb3a438/3146/4b8d/8f20/bfa8d6610f84,2013/07/20T19:30:00Z,
40,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,/incidents/2013/6/14/palmyrita/fire/,,,Riverside,33,,,,15/06/2013,,FALSE,TRUE,,,,34.001745,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",/117.302057,FALSE,Palmyrita Fire,100,,TRUE,"The Palmyrita Fire burned in June 2013 off Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove, Riverside County. ","Palmyrita Fire, June 2013, Highgrove Pass Road, Pigeon Pass Road, Riverside County",14/06/2013,Finalized,,,,,2d1f0c40/92e7/4540/991b/d353ed68ec6c,2013/06/15T08:00:00Z,
40,FALSE,CAL FIRE Riverside Unit,2,2013,TRUE,/incidents/2013/5/16/54/fire/,Go to Administrative Unit Link for full description.,,Riverside,33,,1,19,17/05/2013,,FALSE,TRUE,,,,33.655638,"Avenue 54 and Tyler Street, near the community of Coachella",/116.161201,TRUE,54 Fire,100,65,TRUE,"The 54 Fire burned in May 2013 off Avenue 54 and Tyler Street, near the community of Coachella, in Riverside County. ","54 Fire, May 2013, Tyler Street, Riverside County, Coachella",16/05/2013,Finalized,,,,,e215290f/d0b4/48fd/be32/f599959347b1,2013/05/17T08:30:00Z,
38,FALSE,CAL FIRE Amador/El Dorado Unit,,2013,TRUE,/incidents/2013/8/24/empire/fire/,,,El Dorado,9,,,,24/08/2013,,FALSE,TRUE,,,,38.89555,off Hwy 193 & Empire Creek Cir near Georgetown,/120.84716,FALSE,Empire Fire,100,,TRUE,The Empire Fire burned in August 2013 off Highway 193 and Empre Creek Circle near Georgetown in El Dorado County. ,"Empire FIre, August 2013, Highway 193, Empire Creek Circle, Georgetown, El Dorado County",24/08/2013,Finalized,,,,,fea7802f/ba70/450a/9ad1/96e2751293a9,2013/08/24T11:45:00Z,
38,FALSE,CAL FIRE Sanoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/8/7/indian/fire/,,,Lake,17,,,,07/08/2013,,FALSE,TRUE,,,,39.1591,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",/122.5906,FALSE,Indian Fire,100,,TRUE,"The Indian Fire burned in August 2013 off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks in Lake County. ","Indian Fire, August 2013, Batlett Springs Road, Indian Valley Reservoir, Clearlake Oaks, Lake County ",07/08/2013,Finalized,,,,,b5b63934/923d/4504/a9b1/75c885477a8d,2013/08/07T18:30:00Z,
38,FALSE,CAL FIRE Santa Clara Unit / Alameda County Fire,,2013,TRUE,/incidents/2013/7/6/fallon/fire/,,,Alameda,1,,,,06/07/2013,,FALSE,TRUE,,,,37.74241,off Fallon Rd & Camino Tassajara near Dublin ,/121.86216,FALSE,Fallon Fire,100,,TRUE,The Fallon Fire burned in July 2013 off Fallon Road and Camino Tassajara near Dublin in Alameda County. ,"Fallon Fire, July 2013, Fallon Road, Camino Tassajara, Dublin, Alameda County",06/07/2013,Finalized,,,,,4c04a4e5/f580/4e62/bb53/2575c72d29dc,2013/07/06T14:30:00Z,
35,FALSE,CAL FIRE/Fresno County Fire,,2013,TRUE,/incidents/2013/6/13/michelle/fire/,,,Fresno,10,,,,13/06/2013,,FALSE,TRUE,,,,36.763367,"off McKinley Ave & Academy Ave, north of Sanger ",/119.558244,FALSE,Michelle Fire,100,,TRUE,"The Michelle Fire burned in June 2013, off McKinley Ave and Academy Ave, north of Sanger in Fresno County.","Michelle Fire, June 2013, McKinley Ave, Academy Ave, Sanger, Fresno County",13/06/2013,Finalized,,,,,953f17a1/2034/467b/b48c/28da1a9af60e,2013/06/13T21:30:00Z,
35,FALSE,CAL FIRE San Luis Obispo Unit,,2013,TRUE,/incidents/2013/5/20/cottontail/fire/,,,San Luis Obispo,40,,,,20/05/2013,,FALSE,TRUE,,,,35.49864,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,/120.91375,FALSE,Cottontail Fire,100,,TRUE,"The Cottontail Fire burned in May 2013 off Cayucos Creek Road and Thunder Canyon Road, north of Cayucos in San Luis Obispo County. ","Cottontail Fire, May 2013, Cayucos Creek Rd, Thunder Canyon Road, San Luis Obispo County, Cayucos",20/05/2013,Finalized,,,,,f17c523c/bf01/4245/899b/7c2331096dae,2013/05/20T19:10:00Z,
34,FALSE,CAL FIRE Shasta/Trinity Unit,,2013,TRUE,/incidents/2013/8/4/honey/fire/,,,Shasta,45,,,,05/08/2013,,FALSE,TRUE,,,,0,"Honey Bee Road, West of Redding",0,FALSE,Honey Fire,100,,TRUE,"The Honey Fire burned in August 2013 off Honey Bee Road, west of Redding in Shasta County. ","Honey Fire, August 2013, Honey Bee Road, Redding, Shasta County",04/08/2013,Finalized,,,,,15dc8848/9380/40a8/86b7/2b783be8f29d,2013/08/05T08:17:00Z,
33,FALSE,CAL FIRE Shasta/Trinity Unit,,2013,TRUE,/incidents/2013/11/7/dersch/fire/,,,Shasta,45,,,,07/11/2013,,FALSE,TRUE,,,,40.483662,"Off Dersch Rd and Hyrax, Millville",/122.140914,FALSE,Dersch Fire,100,,TRUE,"The Dersch Fire off Dersch Rd and Hyrax, Millville was 33 acres.","SHU, Dersch Fire, Dersch, Dersch Road, Hyrax Road, Millville",07/11/2013,Finalized,,,,,29a2efda/c28f/4a41/9c6d/8cb8f763d464,2013/11/07T19:45:00Z,
31,FALSE,CAL FIRE Tuolumne/Calaveras Unit,,2013,TRUE,/incidents/2013/7/22/chuckwagon/fire/,,,Calaveras,5,,,,23/07/2013,,FALSE,TRUE,,,,37.965364,"near the 4500 block of Chuckwagon Drive, Copperopolis",/120.696362,FALSE,Chuckwagon Fire,100,,TRUE,"The Chuckwagon Fire burned in July 2013 off Chuckwagon Drive, near Copperopolis in Calaveras County. ","Chuckwagon Fire, July 2013, Chuckwagon Drive, Copperopolis, Calaveras County",22/07/2013,Finalized,,,,,68dadbb3/6a63/483a/add9/491a69d9e0ad,2013/07/23T15:10:00Z,
30,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/9/15/lakeshore/fire/,,,Lake,17,,,,15/09/2013,,FALSE,TRUE,,,,38.9777,near the community of Clearlake,/122.683,TRUE,Lakeshore Fire,100,,TRUE,The Lakeshore Fire burned September 2013 near Clearlake in Lake County.,"Lakeshore FIre, September 2013, Lake County, Clearlake",15/09/2013,Finalized,,,,,51e00abb/53d0/4014/9224/2a853b1d6bcf,2013/09/15T17:14:00Z,
30,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2013,TRUE,/incidents/2013/6/5/lake/fire/,,,Lake,17,,,,06/06/2013,,FALSE,TRUE,,,,38.99233,Lakeshore Drive and Patterson Drive in Clearlake Oaks,/122.703193,FALSE,Lake Fire,100,,TRUE,The Lake Fire burned in June 2013 off Lakeshore Drive and Patterson Drive in Clearlake Oaks in Lake County. ,"Lake Fire, June 2013, Lakeshore Drive, Patterson Drive, Clearlake Oaks, Lake County",05/06/2013,Finalized,,,,,dcb21e64/9d38/47c2/848b/e8e0dea5c2de,2013/06/06T07:00:00Z,
30,FALSE,San Bernardino National Forest,,2013,FALSE,/incidents/2013/4/20/fawnskin/fire/,,,San Bernardino,36,,,,22/04/2013,,FALSE,TRUE,,,,34.288877,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",/116.941311,FALSE,Fawnskin Fire,100,,TRUE,"The Fawnskin Fire burned in April 2013 in the San Bernardino National Forest, west of Delamar Mountain, in San Bernardino County. ","Fawnskin Fire, April 2013, San Bernardino National Forest, Delamar Mountain, San Bernardino County",20/04/2013,Finalized,,,,,58f89ff8/bd3e/4355/b1c0/8fa05c747d3f,2013/04/22T09:00:00Z,
